test_type,trained_on,tested_on,accuracy,temp,train_size,sample_size
next_node,0,0,1.0,-1,100,50
next_node,0,1,0.0,-1,100,50
next_node,0,2,0.0,-1,100,50
next_node,0,3,0.0,-1,100,50
next_node,0,4,0.0,-1,100,50
next_node,1,0,1.0,-1,100,50
next_node,1,1,1.0,-1,100,50
next_node,1,2,0.0,-1,100,50
next_node,1,3,0.0,-1,100,50
next_node,1,4,0.0,-1,100,50
next_node,2,0,1.0,-1,100,50
next_node,2,1,0.95,-1,100,50
next_node,2,2,1.0,-1,100,50
next_node,2,3,0.0,-1,100,50
next_node,2,4,0.0,-1,100,50
next_node,3,0,1.0,-1,100,50
next_node,3,1,1.0,-1,100,50
next_node,3,2,1.0,-1,100,50
next_node,3,3,1.0,-1,100,50
next_node,3,4,0.0,-1,100,50
next_node,4,0,1.0,-1,100,50
next_node,4,1,0.9,-1,100,50
next_node,4,2,1.0,-1,100,50
next_node,4,3,1.0,-1,100,50
next_node,4,4,1.0,-1,100,50
next_node,0,0,1.0,0.3,100,50
next_node,0,1,0.0,0.3,100,50
next_node,0,2,0.0,0.3,100,50
next_node,0,3,0.0,0.3,100,50
next_node,0,4,0.0,0.3,100,50
next_node,1,0,0.9,0.3,100,50
next_node,1,1,1.0,0.3,100,50
next_node,1,2,0.0,0.3,100,50
next_node,1,3,0.0,0.3,100,50
next_node,1,4,0.0,0.3,100,50
next_node,2,0,0.7,0.3,100,50
next_node,2,1,0.95,0.3,100,50
next_node,2,2,1.0,0.3,100,50
next_node,2,3,0.0,0.3,100,50
next_node,2,4,0.0,0.3,100,50
next_node,3,0,0.7,0.3,100,50
next_node,3,1,0.7,0.3,100,50
next_node,3,2,0.9,0.3,100,50
next_node,3,3,1.0,0.3,100,50
next_node,3,4,0.0,0.3,100,50
next_node,4,0,0.65,0.3,100,50
next_node,4,1,0.45,0.3,100,50
next_node,4,2,0.35,0.3,100,50
next_node,4,3,1.0,0.3,100,50
next_node,4,4,1.0,0.3,100,50
next_node,0,0,1.0,0.9,100,50
next_node,0,1,0.0,0.9,100,50
next_node,0,2,0.0,0.9,100,50
next_node,0,3,0.0,0.9,100,50
next_node,0,4,0.0,0.9,100,50
next_node,1,0,1.0,0.9,100,50
next_node,1,1,1.0,0.9,100,50
next_node,1,2,0.0,0.9,100,50
next_node,1,3,0.0,0.9,100,50
next_node,1,4,0.0,0.9,100,50
next_node,2,0,0.95,0.9,100,50
next_node,2,1,0.9,0.9,100,50
next_node,2,2,1.0,0.9,100,50
next_node,2,3,0.0,0.9,100,50
next_node,2,4,0.0,0.9,100,50
next_node,3,0,0.75,0.9,100,50
next_node,3,1,0.8,0.9,100,50
next_node,3,2,0.95,0.9,100,50
next_node,3,3,1.0,0.9,100,50
next_node,3,4,0.0,0.9,100,50
next_node,4,0,0.4,0.9,100,50
next_node,4,1,0.55,0.9,100,50
next_node,4,2,0.9,0.9,100,50
next_node,4,3,1.0,0.9,100,50
next_node,4,4,1.0,0.9,100,50
next_node,0,0,1.0,1.5,100,50
next_node,0,1,0.0,1.5,100,50
next_node,0,2,0.0,1.5,100,50
next_node,0,3,0.0,1.5,100,50
next_node,0,4,0.0,1.5,100,50
next_node,1,0,1.0,1.5,100,50
next_node,1,1,1.0,1.5,100,50
next_node,1,2,0.0,1.5,100,50
next_node,1,3,0.0,1.5,100,50
next_node,1,4,0.0,1.5,100,50
next_node,2,0,0.95,1.5,100,50
